x,y,y =  0.4488821686174333  +  0.9912598943019966 x,the different between the actual data (learning rate = 0.0001) (50000 times),y = 0.448882168617433  +  0.991259894301996 x,the different between the actual data (learning rate = 0.0001) (90000 times)
77,79.77515201,76.78113723,2.994014783,76.77589403,2.99925798
21,23.17727887,21.25392903,1.923349839,21.26533995,1.911938921
22,25.60926156,22.24548632,3.36377524,22.25659984,3.352661717
20,17.85738813,20.26237174,-2.404983612,20.27408005,-2.416691925
36,41.84986439,36.12728837,5.722576021,36.13423836,5.715626027
15,9.805234876,15.3045853,-5.499350419,15.31778058,-5.512545707
62,58.87465933,61.90777789,-3.033118558,61.90699562,-3.032336285
95,97.61793701,94.62916843,2.988768578,94.61857213,2.999364883
20,18.39512747,20.26237174,-1.867244272,20.27408005,-1.878952585
5,8.746747654,5.389012403,3.357735251,5.40518164,3.341566014
4,2.811415826,4.397455114,-1.586039288,4.413921746,-1.60250592
19,17.09537241,19.27081445,-2.175442042,19.28282016,-2.18744775
96,95.14907176,95.62072572,-0.471653962,95.60983202,-0.460760262
62,61.38800663,61.90777789,-0.519771258,61.90699562,-0.518988985
36,40.24701716,36.12728837,4.119728791,36.13423836,4.112778797
15,14.82248589,15.3045853,-0.482099405,15.31778058,-0.495294693
65,66.95806869,64.88244976,2.075618934,64.8807753,2.077293392
14,16.63507984,14.31302801,2.322051834,14.32652069,2.308559151
87,90.65513736,86.69671012,3.958427241,86.68849297,3.966644387
69,77.22982636,68.84867891,8.381147447,68.84581488,8.384011485
89,92.11906278,88.6798247,3.439238083,88.67101276,3.448050019
51,46.91387709,51.00064771,-4.086770617,51.00313678,-4.089259688
89,89.82634442,88.6798247,1.146519723,88.67101276,1.155331659
27,21.71380347,27.20327277,-5.489469296,27.21289931,-5.499095845
97,97.41206981,96.61228301,0.799786799,96.60109192,0.810977894
58,57.01631363,57.94154873,-0.925235102,57.94195604,-0.925642408
79,78.31056542,78.7642518,-0.453686385,78.75841382,-0.447848398
21,19.1315097,21.25392903,-2.122419331,21.26533995,-2.133830249
93,93.03483388,92.64605385,0.388780026,92.63605234,0.398781541
27,26.59112396,27.20327277,-0.612148806,27.21289931,-0.621775355
99,97.55155344,98.59539759,-1.043844149,98.5836117,-1.032058265
31,31.43524822,31.16950192,0.265746297,31.17793889,0.257309328
33,35.12724777,33.1526165,1.974631269,33.16045868,1.966789089
80,78.61042432,79.75580909,-1.145384774,79.74967371,-1.139249393
28,33.07112825,28.19483006,4.876298195,28.20415921,4.866969041
47,51.69967172,47.03441855,4.66525317,47.0380972,4.661574519
53,53.62235225,52.98376229,0.638589965,52.98565657,0.636695683
69,69.46306072,68.84867891,0.614381807,68.84581488,0.617245845
28,27.42497237,28.19483006,-0.769857685,28.20415921,-0.779186839
33,36.34644189,33.1526165,3.193825389,33.16045868,3.185983209
91,95.06140858,90.66293928,4.398469305,90.65353255,4.40787603
71,68.16724757,70.83179349,-2.664545921,70.82833466,-2.661087094
50,50.96155532,50.00909042,0.952464902,50.01187688,0.949678436
76,78.04237454,75.78957994,2.252794603,75.78463414,2.257740404
4,5.607664865,4.397455114,1.210209751,4.413921746,1.193743119
37,36.11334779,37.11884566,-1.005497868,37.12549826,-1.012150468
70,67.2352155,69.8402362,-2.605020702,69.83707477,-2.60185927
68,65.01324035,67.85712162,-2.843881274,67.85455498,-2.841314631
40,38.14753871,40.09351753,-1.945978816,40.09927794,-1.951739231
35,34.31141446,35.13573108,-0.82431662,35.14297847,-0.831564009
94,95.28503937,93.63761114,1.647428227,93.62731223,1.657727137
88,87.84749912,87.68826741,0.159231712,87.67975287,0.167746253
52,54.08170635,51.992205,2.089501354,51.99439667,2.087309678
31,31.93063515,31.16950192,0.761133227,31.17793889,0.752696258
59,59.61247085,58.93310602,0.679364829,58.93321593,0.679254918
0,-1.040114209,0.431225957,-1.471340166,0.448882169,-1.488996378
39,47.49374765,39.10196024,8.391787413,39.10801805,8.385729604
64,62.60089773,63.89089247,-1.289994737,63.8895154,-1.288617674
69,70.9146434,68.84867891,2.065964487,68.84581488,2.068828525
57,56.14834113,56.94999144,-0.801650312,56.95069614,-0.802355014
13,14.05572877,13.32147072,0.734258053,13.33526079,0.720467975
72,68.11367147,71.82335078,-3.70967931,71.81959456,-3.705923088
76,75.59701346,75.78957994,-0.192566477,75.78463414,-0.187620676
61,59.225745,60.9162206,-1.690475599,60.91573572,-1.689990721
82,85.45504157,81.73892367,3.716117897,81.7321935,3.722848069
18,17.76197116,18.27925716,-0.517286003,18.29156027,-0.529589106
41,38.68888682,41.08507481,-2.396187995,41.09053783,-2.401651015
50,50.96343637,50.00909042,0.954345952,50.01187688,0.951559486
55,51.83503872,54.96687686,-3.131838144,54.96817636,-3.133137635
13,17.0761107,13.32147072,3.754639983,13.33526079,3.740849905
46,46.56141773,46.04286126,0.518556469,46.04683731,0.514580423
13,10.34754461,13.32147072,-2.973926107,13.33526079,-2.987716185
79,77.91032969,78.7642518,-0.853922115,78.75841382,-0.848084128
53,50.17008622,52.98376229,-2.813676065,52.98565657,-2.815570347
15,13.25690647,15.3045853,-2.047678825,15.31778058,-2.060874113
28,31.32274932,28.19483006,3.127919265,28.20415921,3.118590111
81,73.9308764,80.74736638,-6.816489983,80.74093361,-6.810057207
69,74.45114379,68.84867891,5.602464877,68.84581488,5.605328915
52,52.01932286,51.992205,0.027117864,51.99439667,0.024926188
84,83.68820499,83.72203825,-0.033833261,83.71471329,-0.0265083
68,70.3698748,67.85712162,2.512753176,67.85455498,2.515319819
27,23.44479161,27.20327277,-3.758481156,27.21289931,-3.768107705
56,49.83051801,55.95843415,-6.127916143,55.95943625,-6.12891824
48,49.88226593,48.02597584,1.856290091,48.0293571,1.852908835
40,41.04525583,40.09351753,0.951738304,40.09927794,0.945977889
39,33.37834391,39.10196024,-5.723616327,39.10801805,-5.729674136
82,81.29750133,81.73892367,-0.441422343,81.7321935,-0.434692171
100,105.5918375,99.58695488,6.004882622,99.5748716,6.016965901
59,56.82457013,58.93310602,-2.108535891,58.93321593,-2.108645802
43,48.67252645,43.06818939,5.604337057,43.07305762,5.599468826
67,67.02150613,66.86556433,0.155941796,66.86329509,0.158211043
38,38.43076389,38.11040295,0.320360943,38.11675815,0.314005738
63,58.61466887,62.89933518,-4.284666308,62.89825551,-4.28358664
91,89.12377509,90.66293928,-1.539164185,90.65353255,-1.52975746
60,60.9105427,59.92466331,0.98587939,59.92447583,0.986066873
14,13.83959878,14.31302801,-0.473429226,14.32652069,-0.486921909
21,16.89085185,21.25392903,-4.363077181,21.26533995,-4.374488099
87,84.06676818,86.69671012,-2.629941939,86.68849297,-2.621724793
73,70.34969772,72.81490807,-2.46521035,72.81085445,-2.461156733
32,33.38474138,32.16105921,1.223682168,32.16919879,1.215542594
2,-1.63296825,2.414340536,-4.047308786,2.431401957,-4.064370207
82,88.54475895,81.73892367,6.805835277,81.7321935,6.812565449
19,17.44047622,19.27081445,-1.830338232,19.28282016,-1.84234394
74,75.69298554,73.80646536,1.886520181,73.80211435,1.890871193
42,41.97607107,42.0766321,-0.100561034,42.08179773,-0.105726659
12,12.59244741,12.32991343,0.262533982,12.3440009,0.24844651
1,0.275307261,1.422783247,-1.147475986,1.440142063,-1.164834802
90,98.13258005,89.67138199,8.461198064,89.66227266,8.470307394
89,87.45721555,88.6798247,-1.222609147,88.67101276,-1.213797211
0,-2.344738542,0.431225957,-2.775964499,0.448882169,-2.793620711
41,39.3294153,41.08507481,-1.755659515,41.09053783,-1.761122535
16,16.68715211,16.29614258,0.391009525,16.30904048,0.378111633
94,96.58888601,93.63761114,2.951274867,93.62731223,2.961573777
97,97.70342201,96.61228301,1.091138999,96.60109192,1.102330094
66,67.01715955,65.87400705,1.143152505,65.87203519,1.145124357
24,25.63476257,24.2286009,1.406161672,24.23911963,1.395642938
17,13.41310757,17.28769987,-3.874592304,17.30030037,-3.887192802
90,95.15647284,89.67138199,5.485090854,89.66227266,5.494200184
13,9.744164258,13.32147072,-3.577306459,13.33526079,-3.591096537
0,-3.467883789,0.431225957,-3.899109746,0.448882169,-3.916765958
64,62.82816355,63.89089247,-1.062728917,63.8895154,-1.061351854
96,97.27405461,95.62072572,1.653328888,95.60983202,1.664222588
98,95.58017185,97.6038403,-2.02366845,97.59235181,-2.01217996
12,7.468501839,12.32991343,-4.861411589,12.3440009,-4.875499061
41,45.44599591,41.08507481,4.360921095,41.09053783,4.355458075
47,46.69013968,47.03441855,-0.34427887,47.0380972,-0.347957521
78,74.4993599,77.77269452,-3.273334616,77.76715392,-3.267794024
20,21.63500655,20.26237174,1.372634808,20.27408005,1.360926495
89,91.59548851,88.6798247,2.915663813,88.67101276,2.924475749
29,26.49487961,29.18638734,-2.691507734,29.1954191,-2.700539493
64,67.38654703,63.89089247,3.495654563,63.8895154,3.497031626
75,74.25362837,74.79802265,-0.544394278,74.79337424,-0.539745871
12,12.07991648,12.32991343,-0.249996948,12.3440009,-0.26408442
25,21.32273728,25.22015819,-3.897420908,25.23037953,-3.907642246
28,29.31770045,28.19483006,1.122870395,28.20415921,1.113541241
30,26.48713683,30.17794463,-3.690807804,30.186679,-3.699542168
65,68.94699774,64.88244976,4.064547984,64.8807753,4.066222442
59,59.10598995,58.93310602,0.172883929,58.93321593,0.172774018
64,64.37521087,63.89089247,0.484318403,63.8895154,0.485695466
53,60.20758349,52.98376229,7.223821205,52.98565657,7.221926923
71,70.34329706,70.83179349,-0.488496431,70.82833466,-0.485037604
97,97.1082562,96.61228301,0.495973189,96.60109192,0.507164284
73,75.7584178,72.81490807,2.94350973,72.81085445,2.947563347
9,10.80462727,9.35524156,1.44938571,9.370221217,1.434406053
12,12.11219941,12.32991343,-0.217714018,12.3440009,-0.23180149
63,63.28312382,62.89933518,0.383788642,62.89825551,0.38486831
99,98.03017721,98.59539759,-0.565220379,98.5836117,-0.553434495
60,63.19354354,59.92466331,3.26888023,59.92447583,3.269067713
35,34.8534823,35.13573108,-0.28224878,35.14297847,-0.289496169
2,-2.819913974,2.414340536,-5.23425451,2.431401957,-5.251315931
60,59.8313966,59.92466331,-0.09326671,59.92447583,-0.093079227
32,29.38505024,32.16105921,-2.776008972,32.16919879,-2.784148546
94,97.00148372,93.63761114,3.363872577,93.62731223,3.374171487
84,85.18657275,83.72203825,1.464534499,83.71471329,1.47185946
63,61.74063192,62.89933518,-1.158703258,62.89825551,-1.15762359
22,18.84798163,22.24548632,-3.39750469,22.25659984,-3.408618213
81,78.79008525,80.74736638,-1.957281133,80.74093361,-1.950848357
93,95.12400481,92.64605385,2.477950956,92.63605234,2.487952471
33,30.48881287,33.1526165,-2.663803631,33.16045868,-2.671645811
7,10.41468095,7.372126982,3.042553968,7.387701429,3.026979521
42,38.98317436,42.0766321,-3.093457744,42.08179773,-3.098623369
46,46.11021062,46.04286126,0.067349359,46.04683731,0.063373313
54,52.45103628,53.97531957,-1.524283295,53.97691646,-1.525880181
16,21.16523945,16.29614258,4.869096865,16.30904048,4.856198973
49,52.28620611,49.01753313,3.268672981,49.02061699,3.265589121
43,44.18863945,43.06818939,1.120450057,43.07305762,1.115581826
95,97.13832018,94.62916843,2.509151748,94.61857213,2.519748053
66,67.22008001,65.87400705,1.346072965,65.87203519,1.348044817
21,18.98322306,21.25392903,-2.270705971,21.26533995,-2.282116889
35,24.3884599,35.13573108,-10.74727118,35.14297847,-10.75451857
80,79.44769523,79.75580909,-0.308113864,79.74967371,-0.301978483
37,40.03504862,37.11884566,2.916202962,37.12549826,2.909550362
54,53.32005764,53.97531957,-0.655261935,53.97691646,-0.656858821
56,54.55446979,55.95843415,-1.403964363,55.95943625,-1.40496646
1,-2.761182595,1.422783247,-4.183965842,1.440142063,-4.201324658
32,37.80182795,32.16105921,5.640768738,32.16919879,5.632629164
58,57.48741435,57.94154873,-0.454134382,57.94195604,-0.454541688
32,36.06292994,32.16105921,3.901870728,32.16919879,3.893731154
46,49.83538167,46.04286126,3.792520409,46.04683731,3.788544363
72,74.68953276,71.82335078,2.86618198,71.81959456,2.869938202
17,14.86159401,17.28769987,-2.426105864,17.30030037,-2.438706362
97,101.0697879,96.61228301,4.457504889,96.60109192,4.468695984
93,99.43577876,92.64605385,6.789724906,92.63605234,6.799726421
91,91.69240746,90.66293928,1.029468185,90.65353255,1.03887491
37,34.12473248,37.11884566,-2.994113178,37.12549826,-3.000765778
4,6.079390073,4.397455114,1.681934959,4.413921746,1.665468327
54,59.07247174,53.97531957,5.097152165,53.97691646,5.095555279
51,56.43046022,51.00064771,5.429812513,51.00313678,5.427323442
27,30.49412933,27.20327277,3.290856564,27.21289931,3.281230015
46,48.35172635,46.04286126,2.308865089,46.04683731,2.304889043
92,89.73153611,91.65449656,-1.922960455,91.64479244,-1.913256334
73,72.86282528,72.81490807,0.04791721,72.81085445,0.051970827
77,80.97144285,76.78113723,4.190305623,76.77589403,4.19554882
91,91.36566374,90.66293928,0.702724465,90.65353255,0.71213119
61,60.07137496,60.9162206,-0.844845639,60.91573572,-0.844360761
99,99.87382707,98.59539759,1.278429481,98.5836117,1.290215365
4,8.655714172,4.397455114,4.258259058,4.413921746,4.241792426
72,69.39858505,71.82335078,-2.42476573,71.81959456,-2.421009508
19,19.38780134,19.27081445,0.116986888,19.28282016,0.10498118
57,53.11628433,56.94999144,-3.833707112,56.95069614,-3.834411814
78,78.39683006,77.77269452,0.624135544,77.76715392,0.629676136
26,25.75612514,26.21171548,-0.455590337,26.22163942,-0.46551428
74,75.07484683,73.80646536,1.268381471,73.80211435,1.272732483
90,92.88772282,89.67138199,3.216340834,89.66227266,3.225450164
66,69.45498498,65.87400705,3.580977935,65.87203519,3.582949787
13,13.12109842,13.32147072,-0.200372297,13.33526079,-0.214162375
40,48.09843134,40.09351753,8.004913814,40.09927794,7.999153399
77,79.3142548,76.78113723,2.533117573,76.77589403,2.53836077
67,68.48820749,66.86556433,1.622643156,66.86329509,1.624912403
75,73.2300846,74.79802265,-1.567938048,74.79337424,-1.563289641
23,24.68362712,23.23704361,1.446583511,23.24785974,1.435767382
45,41.90368917,45.05130397,-3.147614802,45.05557741,-3.151888242
59,62.22635684,58.93310602,3.293250819,58.93321593,3.293140908
44,45.96396877,44.05974668,1.904222087,44.06431752,1.899651252
23,23.52647153,23.23704361,0.289427921,23.24785974,0.278611792
55,51.80035866,54.96687686,-3.166518204,54.96817636,-3.167817695
55,51.10774273,54.96687686,-3.859134134,54.96817636,-3.860433625
95,95.79747345,94.62916843,1.168305018,94.61857213,1.178901323
12,9.241138977,12.32991343,-3.088774451,12.3440009,-3.102861923
4,7.646529763,4.397455114,3.249074649,4.413921746,3.232608017
7,9.281699753,7.372126982,1.909572771,7.387701429,1.893998324
100,103.5266162,99.58695488,3.939661322,99.5748716,3.951744601
48,47.41006725,48.02597584,-0.615908589,48.0293571,-0.619289845
42,42.03835773,42.0766321,-0.038274374,42.08179773,-0.043439999
96,96.11982476,95.62072572,0.499099038,95.60983202,0.509992738
39,38.05766408,39.10196024,-1.044296157,39.10801805,-1.050353966
100,105.4503788,99.58695488,5.863423922,99.5748716,5.875507201
87,88.80306911,86.69671012,2.106358991,86.68849297,2.114576137
14,15.49301141,14.31302801,1.179983404,14.32652069,1.166490721
14,12.42624606,14.31302801,-1.886781946,14.32652069,-1.900274629
37,40.00709598,37.11884566,2.888250322,37.12549826,2.881597722
5,5.634030902,5.389012403,0.245018499,5.40518164,0.228849262
88,87.36938931,87.68826741,-0.318878098,87.67975287,-0.310363557
91,89.73951993,90.66293928,-0.923419345,90.65353255,-0.91401262
65,66.61499643,64.88244976,1.732546674,64.8807753,1.734221132
74,72.9138853,73.80646536,-0.892580059,73.80211435,-0.888229047
56,57.19103506,55.95843415,1.232600907,55.95943625,1.23159881
16,11.21710477,16.29614258,-5.079037815,16.30904048,-5.091935707
5,0.676076749,5.389012403,-4.712935654,5.40518164,-4.729104891
28,28.15668543,28.19483006,-0.038144625,28.20415921,-0.047473779
92,95.3958003,91.65449656,3.741303735,91.64479244,3.751007856
46,52.05490703,46.04286126,6.012045769,46.04683731,6.008069723
54,59.70864577,53.97531957,5.733326195,53.97691646,5.731729309
39,36.79224762,39.10196024,-2.309712617,39.10801805,-2.315770426
44,37.08457698,44.05974668,-6.975169703,44.06431752,-6.979740538
31,24.18437976,31.16950192,-6.985122163,31.17793889,-6.993559132
68,67.28725332,67.85712162,-0.569868304,67.85455498,-0.567301661
86,82.870594,85.70515283,-2.834558829,85.69723308,-2.826639079
90,89.899991,89.67138199,0.228609014,89.66227266,0.237718344
38,36.94173178,38.11040295,-1.168671167,38.11675815,-1.175026372
21,19.87562242,21.25392903,-1.378306611,21.26533995,-1.389717529
95,90.71481654,94.62916843,-3.914351892,94.61857213,-3.903755587
56,61.09367762,55.95843415,5.135243467,55.95943625,5.13424137
60,60.11134958,59.92466331,0.18668627,59.92447583,0.186873753
65,64.83296316,64.88244976,-0.049486596,64.8807753,-0.047812138
78,81.40381769,77.77269452,3.631123174,77.76715392,3.636663766
89,92.40217686,88.6798247,3.722352163,88.67101276,3.731164099
6,2.576625376,6.380569693,-3.803944317,6.396441534,-3.819816158
67,63.80768172,66.86556433,-3.057882614,66.86329509,-3.055613367
36,38.67780759,36.12728837,2.550519221,36.13423836,2.543569227
16,16.82839701,16.29614258,0.532254425,16.30904048,0.519356533
100,99.78687252,99.58695488,0.199917642,99.5748716,0.212000921
45,44.68913433,45.05130397,-0.362169642,45.05557741,-0.366443082
73,71.00377824,72.81490807,-1.81112983,72.81085445,-1.807076213
57,51.57326718,56.94999144,-5.376724262,56.95069614,-5.377428964
20,19.87846479,20.26237174,-0.383906952,20.27408005,-0.395615265
76,79.50341495,75.78957994,3.713835013,75.78463414,3.718780814
34,34.58876491,34.14417379,0.44459112,34.15171857,0.437046335
55,55.7383467,54.96687686,0.771469836,54.96817636,0.770170345
72,68.19721905,71.82335078,-3.62613173,71.81959456,-3.622375508
55,55.81628509,54.96687686,0.849408226,54.96817636,0.848108735
8,9.391416798,8.363684271,1.027732527,8.378961323,1.012455475
56,56.01448111,55.95843415,0.056046957,55.95943625,0.05504486
72,77.9969477,71.82335078,6.17359692,71.81959456,6.177353142
58,55.37049953,57.94154873,-2.571049202,57.94195604,-2.571456508
6,11.89457829,6.380569693,5.514008597,6.396441534,5.498136756
96,94.79081712,95.62072572,-0.829908602,95.60983202,-0.819014902
23,25.69041546,23.23704361,2.453371851,23.24785974,2.442555722
58,53.52042319,57.94154873,-4.421125542,57.94195604,-4.421532848
23,18.31396758,23.23704361,-4.923076029,23.24785974,-4.933892158
19,21.42637785,19.27081445,2.155563398,19.28282016,2.14355769
25,30.41303282,25.22015819,5.192874632,25.23037953,5.182653294
64,67.68142149,63.89089247,3.790529023,63.8895154,3.791906086
21,17.0854783,21.25392903,-4.168450731,21.26533995,-4.179861649
59,60.91792707,58.93310602,1.984821049,58.93321593,1.984711138
19,14.99514319,19.27081445,-4.275671262,19.28282016,-4.28767697
16,16.74923937,16.29614258,0.453096785,16.30904048,0.440198893
42,41.46923883,42.0766321,-0.607393274,42.08179773,-0.612558899
43,42.84526108,43.06818939,-0.222928313,43.07305762,-0.227796544
61,59.12912974,60.9162206,-1.787090859,60.91573572,-1.786605981
92,91.30863673,91.65449656,-0.345859835,91.64479244,-0.336155714
11,8.673336357,11.33835614,-2.665019782,11.35274101,-2.679404649
41,39.31485292,41.08507481,-1.770221895,41.09053783,-1.775684915
1,5.313686205,1.422783247,3.890902958,1.440142063,3.873544142
8,5.405220518,8.363684271,-2.958463753,8.378961323,-2.973740805
71,68.5458879,70.83179349,-2.285905591,70.82833466,-2.282446764
46,47.33487629,46.04286126,1.292015029,46.04683731,1.288038983
55,54.09063686,54.96687686,-0.876240004,54.96817636,-0.877539495
62,63.29717058,61.90777789,1.389392692,61.90699562,1.390174965
47,52.45946688,47.03441855,5.42504833,47.0380972,5.421369679
